mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04267759323120117,0.00335556614859759,0.027280378341674804,0.01208279173901488,3,4,3,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 3}",0.7387301587301587,0.6376719576719575,0.6476797658862876,0.6440217391304348,0.7381897993311037,0.6812586841499885,0.04681465329873717,100
0.08275957107543945,0.03199356299915311,0.02296619415283203,0.008623021123765793,3,4,5,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 5}",0.7711111111111111,0.655132275132275,0.6655518394648829,0.6539506688963211,0.7746655518394648,0.704082289288811,0.05633602527675555,86
0.125182580947876,0.025256768231000884,0.020451164245605467,0.015416904293908776,3,4,10,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 10}",0.7807407407407407,0.6873015873015873,0.7007734113712375,0.7154055183946488,0.7576295986622074,0.7283701712940843,0.035256439435281596,50
0.30614385604858396,0.03745466834241582,0.04147582054138184,0.01986623930846367,3,4,25,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 25}",0.795978835978836,0.6616931216931217,0.7136287625418061,0.7312918060200669,0.7552257525083613,0.7315636557484384,0.04452602855178948,37
0.8612647533416748,0.1378318534820736,0.05169939994812012,0.035597291586173294,3,4,50,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 50}",0.7881481481481482,0.6738624338624337,0.7188545150501672,0.7410117056856187,0.7591973244147157,0.7362148254322166,0.038568060461982696,23
1.3038496494293212,0.09967022535013009,0.06112031936645508,0.017766001540378402,3,4,150,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 150}",0.7919576719576719,0.6571428571428571,0.7311872909698998,0.75,0.7555392976588629,0.7371654235458583,0.04459566187762684,21
0.05918598175048828,0.013747586326507055,0.014227533340454101,0.00311672068881794,3,7,3,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 3}",0.7294179894179895,0.6264550264550264,0.6512332775919732,0.694502508361204,0.7165551839464882,0.6836327971545363,0.0390316393056896,99
0.05588021278381348,0.009337129605748262,0.02608799934387207,0.018722492055624044,3,7,5,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 5}",0.7647619047619048,0.6322751322751322,0.6753762541806021,0.6909489966555185,0.7415342809364548,0.7009793137619226,0.04730605194295523,90
0.09792423248291016,0.012735558331349239,0.0203122615814209,0.007093576595214018,3,7,10,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 10}",0.780952380952381,0.641904761904762,0.7171822742474916,0.6894857859531773,0.7441471571906354,0.7147344720496894,0.04732350805179069,70
0.26470141410827636,0.04346712931113587,0.030082178115844727,0.012976400865299161,3,7,25,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 25}",0.8043386243386244,0.6451851851851851,0.7270066889632106,0.7241847826086957,0.7487458193979932,0.7298922200987418,0.051213100291367164,46
